1996 Item,Predicted HS Code,Confidence Score
"Rattan webbing for mats, matting and screens",46019301,1.0
"Petroleum coke, calcined",27131200,0.9382591247558594
"Track suits, knitted or crocheted, of synthetic fibers",61121200,1.0
"Yarn(other than sewing thread)cont. 85% or more by wt. of acrylic or modacrylic staple fibers,multiple or cabled,not put up for retail sale",55093200,0.9928885698318481
"Men's or boys' suits, knitted or crocheted, of artificial fibers, nesi",61031050,0.9735954403877258
Missing description,70200060,0.3560498356819153
"Men's or boys' trousers and breeches, not knitted or crocheted, of synthetic fibers, nesi, water resistant",62034375,0.941763162612915
"Nails, tacks, corrugated nails, staples and similar articles of iron or steel, suitable for use in powder-actuated hand tools, not threaded",73170020,0.9614471793174744
Articles of goldsmiths' or silversmiths' wares of base metal clad with precious metal,71142000,0.9711713790893555
"Self-copy paper in rolls over 36 cm wide or rectangular sheets over 36 cm on side(s), other than writing paper",48092040,1.0
"Oil well tubing of iron or nonalloy steel, open seamed or closed, nesi",73042950,0.73244309425354
1/ Other..................... 1/ 4.4¢/kg (MX),99129517,0.46786320209503174
"Women's or girls' dresses, knitted or crocheted, of synthetic fibers, containing 23 percent or more of wool or fine animal hair",61044310,1.0000001192092896
Other,9030000,0.3508177697658539
"Multiple or cabled cotton yarn, 85% or more cotton by weight, of uncombed fibers, yarn over 52 but n/o 80 nm, not put up for retail sale",52053400,1.0000001192092896
Natural honey,4090000,0.9999998807907104
p-Nitrophenols,29089920,0.9618747234344482
Missing description,70200060,0.3560498356819153
Machines and appliances for testing the mechanical properties of materials other than metals,90248000,1.0
Other nitrophenols,29089925,0.9012120366096497
"Babies' blouses and shirts, except those imported as parts of sets, not knitted or crocheted, of cotton",62092020,1.0
Carbon (carbon blacks and other forms of carbon not elsewhere specified or included),28030000,1.0000001192092896
1/ Flexible closed-cell rubber tubing designed,40081980,0.6076815724372864
"Peel of lemons, otherwise prepared or preserved, nesi",20083020,0.9569438695907593
Fescue seed of a kind used for sowing,12092300,0.9757605791091919
"Profiles of aluminum, not alloyed",76041010,0.8963637351989746
"Electrical transformers other than liquid dielectric, having a power handling capacity exceeding 16 kVA but not exceeding 500 kVA",85043300,1.0
"Standard coniferous wood moldings, other than of pine, continuously shaped along any of its edges or faces",44091045,0.9756115674972534
Described in additional U.S. note 9 to this chapter and entered pursuant to its provisions,98220125,0.5143834948539734
"Wall or ceiling coverings of polymers of vinyl chloride, without a backing of textile fibers",39181050,1.0
"Pineapples, fresh or dried, reduced in size",8043060,1.0
"Cutting blades other than lawnmower blades for agricultural, horticultural or forestry machines, and parts thereof, of base metal",82084060,0.9110705852508545
Missing description,70200060,0.3560498356819153
"Tunas and skipjack, not in oil, in airtight containers, n/o 7 kg, not of U.S. possessions, over quota",16041430,1.0
"Mine wagon pushers, locomotive or wagon traversers, wagon tippers and similar railway wagon handling equipment",87169010,0.7104232311248779
Other,9030000,0.3508177697658539
"Photographic discharge lamp (""electronic"") flashlight apparatus",90066100,0.9941648244857788
"Plates, sheets and strip of vulcanized, noncellular rubber, other than hard rubber",40082100,1.0
Missing description,70200060,0.3560498356819153
"Brewery machinery, nesi",84384000,0.9088791608810425
4-Chlorobenzoic acid,29163916,1.0000001192092896
"Snails, other than sea snails, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine",3076000,1.0
"Crowbars, track tools and wedges, and parts thereof, of base metal",82055930,0.9800887107849121
"Letter clips, letter corners, indexing tags and similar office articles nesi, and parts thereof, of base metal",83059060,0.9738907217979431
1/ Impact line printers using band drive,84431110,0.45704028010368347
Casein glues,35019020,0.9999999403953552
"Jojoba oil and its fractions, whether or not refined, not chemically modified",15159060,1.0
Missing description,70200060,0.3560498356819153
"Plain weave fabrics of cotton, nesi, containing 85% or more cotton by weight, weighing more than 200 g/m2, of yarns of different colors",52094160,0.9551856517791748
1/ 8-Amino-2-naphthalenesulfonic acid,29089906,0.8155696392059326
"Tubes, pipes and hoses of vulcanized rubber, not hard rubber, reinforced with other materials nesi, without fittings",40094100,0.9520129561424255
"Products nesi, of plaiting materials, bound together in parallel strands or woven, in sheet form, of bamboo, rattan, willow or wood",46019420,0.8870182037353516
1/ Subject to the quantitative,62082910,0.3602848947048187
1/ Specified in U.S. note 24 to,99130805,0.548937976360321
"Woven fabrics of artificial staple fibers, less than 85% by weight of such fibers, mixed with man-made filaments, unbleached or bleached",55162100,0.994644820690155
"Electrical telephonic switching apparatus, nesi",85437060,0.6860698461532593
Sealed beam lamp units,85391000,1.0
1/ Subject to the quantitative,62082910,0.3602848947048187
Missing description,70200060,0.3560498356819153
"Woven fabrics of acrylic or modacrylic staple fibers, nesi",55152900,0.9558280110359192
