2025_hs4,year,hs,brief_description,mfn_ad_val_rate,mfn_specific_rate,unit_1,unit_2,quantity_1_code,quantity_2_code,description_1,duty_1,description_2,duty_2,description_3,duty_3,description_4,duty_4,country_1,country_duty_1,country_2,country_duty_2,country_3,country_duty_3,country_desc,country_codes,mfn_other_rate,mfn_rate_type_code,index
7302,1883,,"Steel railway-bars and railway-bars made in part of steel, weighing more than twenty-five pounds to the yard",0,1700,per pound,,,,Schedule C,17 dollars,,,,,,,,,,,,,,,NA,,1820
7228,1934,6250 800,Silico-spiegel    ,0.25,0,,,NA,NA,NA,25%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33411
307,1934,0087 000,"Clams, quahags, not in airtight containers: Fresh or frozen    ",0,0,,,NA,NA,NA,Free,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30366
7419,1932,6416 100 128661,"Copper and manufactures: Unrefined, black, blister, and converter, in pigs or converter bars: Copper content    ",0,4,lb I.R.C.,,NA,NA,NA,4¢ lb I.R.C.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23225
5205,1930,3020 080,"Cotton yarn (including warps):Bleached, dyed, colored, combed, or plied: No. 80 (specify exact yarn number)    ",0.34,0,,,NA,NA,NA,34%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11161
7117,1934,6845 800,"Jewelry and metal articles and parts valued over 20 cents per dozen, to be worn on apparel or carried on or about or attached to the person: Other than gold or platinum (whether or not enameled or plated, or set with precious or semiprecious stones or imitations): Jewelry and parts: Valued over $5 per dozen pieces, n.e.s.: Brooches and clips    ",0,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35203
7018,1932,9700 000,Beads and fabrics and articles of beads: Beads (including bugles and spangles): Imitation pearl: Hollow or filled    ,0.6,0,,,NA,NA,NA,60%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24469
4911,1934,9530 720,"All other lithographic prints, etc.: Exceeding 0.012, not exceeding 0.02 inch in thickness, in dimensions: Less than 35 square inches: Die-cut or embossed    ",0,15.75,lb,,NA,NA,NA,15.75¢ lb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34496
6309,1932,3643 450,"Articles of wool (except apparel), in part of lace: Containing hand-made lace but no machine-made material ог article provided for in paragraph 1529 (a): If all the lace is over 2 inches wide and the articles are: Valued $150 or more per pound (from 3643 100)    ",0,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21850
7102,1897,,"Diamonds and other precious stones, rough or uncut",0,0,,,,,Free,0,,,,,,,,,,,,,,,NA,,4543
5510,1930,,"Spun yarn of rayon or other synthetic textile, if singles",0.45,12.5,per pound,per centum ad val,,,Schedule 13,12.5 cents and 45%,,,,,,,,,,,,,,,NA,,9115
7317,1931,6790 860,"Manufactures of metals, n.e.s.: Nails, not of iron or steel, n.s.p.f.    ",0.45,0,,,NA,NA,NA,45%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18282
3504,1931,0932 000,"Gelatin, inedible: Valued less than 40 cents per pound (T.D. 45862).    ",0,2.5,lb ,,NA,NA,NA,2.5¢ lb + 20% (Sec. 336).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15394
9503,1894,,"Dolls, doll heads, toy marbles of whatever material composed",0.25,0,per pound,,,,"Schedule N: and all other toys not composed of rubber, china, porcelain, parian, bisque, earthen or stone ware,",25%,,,,,,,,,,,,,,,NA,,3080
7315,1894,,"Chains of all kinds, made of iron or steel; valued at more than one dollar per dozen and not exceeding one dollar and fifty cents per dozen",0,40,per pound,,,,Schedule C,40 cents,,,,,,,,,,,,,,,NA,,2770
9108,1931,9560 140,"Watches and watch movements, and timekeeping, measuring, or indicating mechanisms, devices, and instruments, whether or not designed to be worn or carried on or about the person, less than 1.77 inches wide, whether or not in cases, etc., with or without dials: (Specify ligne size) (A ligne = 0.088814 inch) Having more than 1, but not more than 7 jewels: More than 0.8, not more than 0.9 inch wide    ",0,200,,,NA,NA,NA,$2 ea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19230
5112,1934,3608 330,"Woven fabrics (except pile): Worsteds and woolens, n.e.s. of wool, mohair, or other hair: Weighing over 4 ounces per square yard: (FN1) Valued over $2, not over $4 per pound: Over 6 ounces, not over 8 ounces per square yard (formerly part of 3608 300) 1.5 square yards equals 1 linear yard (approximately) The United States reserves the right to increase the ad valorem part part of the rate applicable to any of the fabrics provided in paragraphs 1108 or 1109 (a) of the Tariff Act of 1930 to 45 percentum ad valorem on any of such fabrics which are entered in any calendar year in excess of an aggregate quantity by weight of 5 per centum of the average annual production of similar fabrics in the United States during the 3 immediately preceding calendar years (T.D. 51802)  ",0,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32011
102,1894,,"Stray Cattle, horses, sheep, or other domestic animals",0,0,,,,,"Free List: Cattle, horses, sheep, or other domestic animals which have strayed across the boundary line into any foreign country, or have been or may be driven across such boundary line by the owner for pasturage purposes, together with their increase, may be brought back to the United States free of duty under regulations to be prescribed by the Secretary of the Treasury.",0,,,,,,,,,,,,,,,NA,,3157
301,1931,0050 000,"Fish: Fresh or frozen: Whole, or beheaded, or eviscerated, or both: Salmon    ",0,2,lb,,NA,NA,NA,2¢ lb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14971
5105,1934,3698 100 128661,Animal hair: Manufactures: Press cloth: Of camel's hair    ,0,25,lb min,,NA,NA,NA,25¢ lb min,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32111
9305,1934,6004 500,"Hammer, roll, and mill scale: Containing dutiable alloy (gross weight)    ",0,75,ton,,NA,NA,NA,75¢ ton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33019
602,1930,,"Plants, trees, shrubs, roots, seed cane, seeds, and other material for planting, imported by the Department of Agriculture or the United States Botanic Garden",0,0,,,,,Schedule 16: Free,0,,,,,,,,,,,,,,,NA,,9659
1703,1790,,molasses,0,3,per gallon,,,,,3 cents,,,,,,,,,,,,,,,NA,,75
3915,1932,8250 500,"Cellulose products, n.e.s.: Cellulose acetate, and compounds, combinations, or mixtures: (In blocks, sheets, rods, tubes, powders, flakes, briquets, or other forms, and waste not made into finished or partly finished articles): Sheets 25¢ lb when wholly or in chief value of acrylic resin (par 1559) (T.D. 51802) Reported with supplemental 5   ",0,50,lb,,NA,NA,NA,50¢ lb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25086
4421,1930,,"Posts, railroad ties, and telephone, trolley, electriclight, and telegraph poles of cedar or other woods",0,0,,,,,Schedule 16: Free,0,,,,,,,,,,,,,,,NA,,9752
1702,1933,1610 800,"Cane sugar testing by the polariscope, not above (T.D. 47040): 80° This concession shall be effective only during such times as Title II of the Sugar Act of 1948 or substantially equivalent legislation is in effect in the United States, whether or not the quotas, or any of them, authorized by such legislation, are being applied or are suspended.   ",0,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25988
6907,1933,5380 530 128661,Earthen tiles: Floor and wall tiles: Ceramic mosaics: Valued not over 40 cents per square foot    ,0,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27740
3302,1934,8380 971,"Other industrial chemicals: Chemical elements, compounds, mixtures, and salts, n.s.p.f.: Containing alcohol: More than 20 and not more than 50 percent    ",0.25,40,lb ,,NA,NA,NA,40¢ lb + 25%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34160
4901,1922,,"Professional books, implements, instruments, and tools of trade, occupation, or employment in the actual possession of persons emigrating to the United States owned and used by them abroad; but this exemption shall not be construed to include machinery or other articles imported for use in any manufacturing establishment, or for any other person or persons, or for sale, nor shall it be construed to include theatrical scenery, properties, and apparel; but such articles brought by proprietors or managers of theatrical exhibitions arriving from abroad, for temporary use by them in such exhibitions, and not for any other person, and not for sale, and which have been used by them abroad, shall be admitted free of duty under such regulations as the Secretary of the Treasury may prescribe; but bonds shall be given for the payment to the United States of such duties as may be imposed by law upon any and all such articles as shall not be exported within six months after such importation",0,0,,,,,"Free: Provided, That the Secretary of the Treasury may, in his discretion, extend such period for a further term of six months in case application shall be made therefor",0,,,,,,,,,,,,,,,NA,,7576
8433,1930,7890 020,Horserakes (hayrakes) (include tedders)    ,0,0,,,NA,NA,NA,Free,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13353
9109,1933,9550 620,"Clocks and clock movements, and clock parts (including watch movements 1.77 inches or more wide): Parts of clocks and clock movements: Valued not more than $1.10 each: Pillar or bottom plates: 1.77 inches or more but not over 2 inches in width: More than 4 jewels    ",0.325,27.5,ea ,,NA,NA,NA,27.5¢ ea + 32.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29410
2714,1933,5078 100,"Petroleum liquid asphalt, including cutbacks and road oil Bound free in the United Kingdom and Mexico Trade Agreements, when free for supplies of vessels and aircraft, under the provisions of Section 3451, Internal Revenue Code.   ",0,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29939
4303,1931,0400 127,"Gloves wholly or in chief value of leather: Women's and children's: Not over 12 inches in length: Not trimmed with fur: Lined with leather or fur: Machine seamed, not overseamed    ",0,1150,,,NA,NA,NA,$11.50 doz pr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15167
9114,1930,9590 051,"Parts of clockwork mechanisms: Plates suitable for assembling clockwork mechanisms, etc., with or without assemblies attached, etc.: Valued more than $2.25, not more than $5 each: Time switches    ",0.325,75,ea ,,NA,NA,NA,75¢ ea + 32.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14219
2805,1933,8350 330,Sodium compounds: Hydroxide (caustic soda)    ,0,0.5,lb,,NA,NA,NA,0.5¢ lb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28935
1702,1933,1610 990,"Cane sugar testing by the polariscope, not above (T.D. 47040): 99°    ",0,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26007
604,1930,4594 000,Pulpwoods: Rossed: Spruce    ,0,0,,,NA,NA,NA,Free,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12031
8716,1894,,"Hubs for wheels, posts, last blocks, wagon blocks, oar blocks,gun blocks, heading, and all like blocks or sticks, rough hewnor sawed only.",0,0,,,,,Free List,0,,,,,,,,,,,,,,,NA,,3520
7013,1931,5220 210,Plate glass by whatever process made: Containing a wire netting: Over 384 and not over 720 square inches    ,0,20,sq ft,,NA,NA,NA,20¢ sq ft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17378
3210,1930,,"(a) Paints, colors, and pigments, commonly known as artists', school, students', or children's paints or colors: (4) in bulk, or in any form exceeding one and one-half pounds net weight each",0,8.25,per ounce,,,,Schedule 1,8.25 cents,,,,,,,,,,,,,,,NA,,7862
7315,1930,6200 480,"Other advanced manufactures: Chains and parts: Other chains: Less than 0.375, not less than 0.3125 inch in diameter    ",0,2.125,lb,,NA,NA,NA,2.125¢ lb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12889
5208,1932,3056,"Cotton cloth: Bleached: In chief value of cotton, containing silk, rayon, or other synthetic textile: Woven with 8 or more harnesses, or with Jacquard, lappet, or swivel attachments (Return with terminal numbers indicating the average yarn number, e. g. 3056 001, 3056 010, 3056 110)    ",0.1,0,,,NA,NA,NA,10% additional + 5% additional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21451
3507,1931,0979 500,Rennet    ,0,0,,,NA,NA,NA,Free,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15424
8104,1931,8312 400,Magnesium compounds: Oxide or calcined magnesia    ,0,7,lb,,NA,NA,NA,7¢ lb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18677
9108,1933,9560 050,"Watches and watch movements, and timekeeping, measuring, or indicating mechanisms, devices, and instruments, whether or not designed to be worn or carried on or about the person, less than 1.77 inches wide, whether or not in cases, etc., with or without dials: (Specify ligne size) (A ligne = 0.088814 inch) Without jewels, or having only 1 jewel: More than 0.6, not more than 0.8 inch wide    ",0,135,,,NA,NA,NA,$1.35 ea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29440
2833,1934,8380 150,"Other industrial chemicals: Aluminum compounds: Sulphate, alum cake or aluminous cake, containing: Over 15 percent of alumina or not more iron than 0.1 percent of ferric oxide Only aluminum sulphate specified in GATT (T.D. 51802)   ",0,0.375,lb,,NA,NA,NA,0.375¢ lb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34083
4421,1930,4108 000,"Sawed boards, planks, deals, and sawed timber, n.e.s.: Softwood, n.e.s.: Larch (include hackmatack)    ",0,100,,,NA,NA,NA,$1 M bd ft + $3 M bd ft I.R.C.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11943
2008,1932,1330 230,"Berries: Otherwise prepared or preserved, n.s.p.f.: Other    ",0.35,0,,,NA,NA,NA,35%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24649
1503,1933,0036 200 128661,Oleo oil    ,0,I.R.C,,,NA,NA,NA,I.R.C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25129
