2025_hs4,year,hs,brief_description,mfn_ad_val_rate,mfn_specific_rate,unit_1,unit_2,quantity_1_code,quantity_2_code,description_1,duty_1,description_2,duty_2,description_3,duty_3,description_4,duty_4,country_1,country_duty_1,country_2,country_duty_2,country_3,country_duty_3,country_desc,country_codes,mfn_other_rate,mfn_rate_type_code,index
4203,1931,0500 122,Gloves wholly or in chief value of leather: Men's gloves: Not over 12 inches in length: Not lined: Hand seamed    ,0,91.666,pair,,NA,NA,NA,91.666¢ pair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15208
1902,1930,1077 100,"Macaroni, vermicelli, noodles, and similar alimentary pastes: Containing eggs or egg products    ",0,3,lb,,NA,NA,NA,3¢ lb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10356
3702,1934,9019 800,"Photographic films and motion-pictures: Motion-picture film, sensitized, but not exposed or developed (raw film): (Reduce all widths except films measuring less than 1 inch in width to equivalent linear feet of standard width of 1.375 inches) 1 inch or more in width: Negative film    ",0,0.4,lin ft,,NA,NA,NA,0.4¢ lin ft,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34308
2909,1846,,ether,0.2,0,per centum ad val,,,,Schedule E,20%,,,,,,,,,,,,,,,NA,,715
9108,1934,9560 140,"Watches and watch movements, and timekeeping, measuring, or indicating mechanisms, devices, and instruments, whether or not designed to be worn or carried on or about the person, less than 1.77 inches wide, whether or not in cases, etc., with or without dials: (Specify ligne size) (A ligne = 0.088814 inch) Having more than 1, but not more than 7 jewels: More than 0.8, not more than 0.9 inch wide    ",0,200,,,NA,NA,NA,$2 ea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34560
8215,1930,6120 230,"Cutlery: Blades, handles, or other parts: Valued over $3, not over $6 per dozen    ",0.5,25,ea ,,NA,NA,NA,25¢ ea + 50%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12810
5603,1932,3050 086,"Cotton cloth: Bleached: Not containing silk, rayon, or other synthetic textile: Not woven with 8 or more harnesses, etc., nor with 2 or more colors or kinds of filling: Containing yarns, average number: Not exceeding: No. 86 (specify exact yarn number) Switzerland rate: This rate applies to cloth containing yarns exceeding No. 48 thru the highest yarn number, woven with swivel attachments [not applicable to cloth containing yarns No. 41 through 48 in view of the reduction in Tariff rate-par. 904 (d)-under the U. K. Trade Agreement (T.D. 49753) ]; to cloth, weighing less than 133 ounces per square yard (9.6 square yards or more to the pound) and containing yarns exceeding No. 85 thru the highest yarn number, not woven with swivel attachments. (T.D. 49795.) U. K. rate: Basic ad valorem rate is 10% and in addition thereto, for each number, 0.25% ad valorem not esceeding No. 60, if valued at more than 80 cents per pound; or exceeding No. 60, but not exceeding No. 90; if valued at more than $1.20 per pound; 36% ad valorem if exceeding No. 90. These rates shall not be applied to any bleached cotton cloth of a class or kind on which import duties have been reduced or bound against increase by any previous trade agreement. General Agreement rate: Basic ad valorem rate is 10% and in addition thereto, for each number. 0.25% ad valorem not exceeding No. 60, if valued at more than 80 cents per pound; or exceeds No. 60 but does not exceed No. 80, if valued at more than $1.20 per pound; 30% ad valorem if exceeding No. 80 but does not exceed No. 90, if valued at more than $1.20 per pound; or exceeds No. 90, regardless of value. ",0.431,0,,,NA,NA,NA,43.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21446
2816,1883,,"Strontia, oxide of, and proto-oxide of strontian, and strontianite, or mineral carbonate of strontia",0,0,,,,,Free,0,,,,,,,,,,,,,,,NA,,2376
8002,1933,6551 500,Tin: Metallic scrap (except alloyed scrap)    ,0,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28409
1515,1931,2253 000,"Expressed or extracted oils and fats: Rapeseed (colza) oil, n.e.s. (not denatured)    ",0,6,gal +,,NA,NA,NA,6¢ gal +,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16024
7013,1934,5275 000,"Glassware: Blown or partly blown in the mold or otherwise, or colored, cut, engraved, pressed, etc., n.e.s.: Bulbs, for electric lamps, without filaments    ",0.2,0,,,NA,NA,NA,20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35100
7326,1931,6098 000,Wire and manufactures: Wire rope    ,0.35,0,,,NA,NA,NA,35%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17842
8203,1883,,"Files, file blanks, rasps, and floats of all cuts and kinds",0,75,per dozen,,,,Schedule C: over four inches in length and under nine inches,75 cents,,,,,,,,,,,,,,,NA,,1863
2710,1934,5054 700,"Refined oils: Gasoline, under 100 octane, and other motor fuel    ",0,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35044
